"LSOA11CD","christian","buddhist","hindu","jewish","muslim","sikh","other","none","not_stated","total","muslim_decile"
"E01003112",730,12,24,2,186,0,9,371,168,1502,10
"W01001943",410,2,37,4,136,5,8,432,64,1098,10
"E01008378",804,2,67,30,180,23,2,258,86,1452,10
"E01003932",826,19,23,6,195,8,11,373,112,1573,10
"E01009283",700,10,32,6,183,17,13,441,74,1476,10
"E01003357",844,24,90,6,216,12,16,382,152,1742,10
"E01000112",995,9,95,11,232,96,7,300,126,1871,10
"E01000095",958,9,26,0,195,4,7,291,82,1572,10
"E01010335",868,1,69,0,212,109,13,336,101,1709,10
"E01008893",910,5,49,0,213,68,4,344,123,1716,10
"E01003162",1316,3,17,1,264,5,7,324,189,2126,10
"E01002675",1019,32,233,10,305,286,21,377,173,2456,10
"E01005270",913,7,14,3,217,12,5,471,105,1747,10
"E01002596",999,23,92,1,248,51,13,449,120,1996,10
"E01006181",977,7,9,2,207,57,10,274,123,1666,10
"W01001696",661,27,10,1,193,16,8,539,98,1553,10
"E01002606",838,20,67,1,204,32,8,347,124,1641,10
"E01002654",829,30,177,1,222,171,13,237,105,1785,10
"E01001511",1012,16,64,8,218,5,3,301,124,1751,10
"E01009514",821,4,4,1,188,10,5,353,124,1510,10
"E01002068",932,15,47,10,227,2,12,398,179,1822,10
"E01027581",1366,4,18,1,312,5,20,596,178,2500,10
"E01001861",780,7,18,10,187,3,6,345,142,1498,10
"E01001940",840,29,15,4,200,4,9,368,132,1601,10
"E01002044",757,22,37,14,216,3,5,521,154,1729,10
"E01001310",876,22,274,5,225,37,11,243,108,1801,10
"E01014572",716,8,30,2,232,60,21,640,148,1857,10
"E01001784",1017,47,27,20,284,8,9,680,181,2273,10
"E01011314",731,6,8,0,184,14,12,419,98,1472,10
"E01013709",407,5,293,0,197,426,6,181,61,1576,10
"E01002809",592,29,30,16,205,2,7,492,267,1640,10
"E01001388",826,25,51,4,205,22,12,361,134,1640,10
"E01003415",979,16,166,2,204,6,12,144,103,1632,10
"E01017666",852,15,33,3,211,6,2,441,124,1687,10
"E01011505",772,6,67,28,200,139,6,256,125,1599,10
"E01000165",827,23,168,99,233,29,13,330,140,1862,10
"E01002615",717,5,92,0,184,41,7,312,112,1470,10
"E01002528",852,13,65,1,211,80,9,366,88,1685,10
"E01009410",1031,4,24,2,223,35,9,322,130,1780,10
"E01015773",592,3,35,1,167,2,3,407,123,1333,10
"E01028587",690,32,24,29,252,0,13,784,187,2011,10
"E01002142",822,20,321,77,223,8,33,155,120,1779,10
"E01014139",797,1,5,0,175,42,6,272,98,1396,10
"E01013920",930,13,32,3,281,9,17,752,204,2241,10
"E01004659",749,43,96,50,226,12,12,460,154,1802,10
"E01001258",850,42,193,9,212,147,8,140,89,1690,10
"E01014587",651,15,6,1,172,23,11,396,96,1371,10
"E01033712",560,20,18,19,198,2,7,585,169,1578,10
"E01028157",763,5,16,2,163,7,0,275,68,1299,10
"E01033098",466,15,20,5,127,2,3,279,95,1012,10
"E01012038",760,5,4,0,189,9,4,456,79,1506,10
"E01003407",868,38,144,1,224,7,11,389,102,1784,10
"E01004530",819,11,120,5,237,7,13,539,135,1886,10
"E01014231",771,4,0,4,187,10,11,408,93,1488,10
"E01002412",1158,40,141,3,288,72,8,414,167,2291,10
"E01000122",735,6,123,61,185,5,21,204,131,1471,10
"E01002135",827,16,348,6,222,46,9,171,120,1765,10
"E01008312",738,2,17,1,159,8,0,273,66,1264,10
"E01004418",934,15,37,16,208,6,5,321,111,1653,10
"E01003244",952,50,32,0,205,4,7,266,113,1629,10
"E01000316",942,22,271,129,291,5,32,430,190,2312,10
"E01023886",1267,15,267,40,341,21,22,541,195,2709,10
"E01009268",345,18,138,5,191,573,100,52,95,1517,10
"E01017953",688,27,27,4,204,2,10,511,147,1620,10
"E01010720",862,5,1,1,198,0,3,400,101,1571,10
"E01001727",401,10,24,606,242,18,8,369,242,1920,10
"E01007654",876,1,18,1,194,16,3,319,111,1539,10
"E01028556",869,8,53,5,225,12,7,491,114,1784,10
"E01001744",832,28,9,13,237,13,12,603,132,1879,10
"E01009795",784,5,37,0,209,45,19,448,110,1657,10
"E01033488",511,19,11,5,152,2,7,323,175,1205,10
"E01010615",774,2,1,1,179,31,4,335,92,1419,10
"E01005868",875,8,37,6,189,5,4,278,96,1498,10
"E01028445",728,5,0,1,184,7,4,440,89,1458,10
"E01002811",620,11,5,11,195,3,4,427,269,1545,10
"E01009000",935,10,25,1,216,22,11,396,94,1710,10
"E01033625",532,45,114,5,214,39,16,593,136,1694,10
"E01004747",1167,27,34,19,283,4,5,490,211,2240,10
"W01001697",686,13,4,2,208,12,6,591,124,1646,10
"E01024925",1031,6,6,0,216,0,2,345,102,1708,10
"E01001842",751,35,14,5,201,2,7,427,147,1589,10
"E01002709",758,27,23,5,222,5,7,452,255,1754,10
"E01017039",763,20,20,4,222,9,5,612,99,1754,10
"E01010017",854,1,68,0,240,239,23,340,130,1895,10
"E01016389",866,6,28,3,220,10,7,461,135,1736,10
"E01023738",840,7,25,8,201,9,5,397,94,1586,10
"E01012850",843,10,7,0,243,1,9,661,143,1917,10
"E01001700",893,66,246,4,256,97,4,359,94,2019,10
"E01008941",811,2,32,0,193,13,4,372,95,1522,10
"E01033740",920,34,42,7,200,9,1,249,115,1577,10
"E01004667",735,18,8,11,171,3,11,263,128,1348,10
"E01016353",754,50,134,2,228,3,12,474,140,1797,10
"E01027241",780,5,19,0,221,1,11,554,150,1741,10
"E01009792",804,6,3,0,201,41,11,422,95,1583,10
"E01009262",452,12,200,0,223,599,19,127,124,1756,10
"E01004574",930,18,18,5,230,2,9,438,161,1811,10
