long,lat,info
-1.850616932,52.48613196,*[500WSalf]Masjid Muhammadi and Madressa Salafiah. 24-36 Hartopp Road. 0121 328 7773
-1.896944046,52.50277909,*[1100WBrelPkstn]Jamia Masjid Mohul Islam. 12-14 Victoria Road. 0121 554 8277
-1.785879135,52.39107847,"*[300WJ]Jumu'ah Salaah. Shelly Farm Community Centre, Farmhouse Way. 07732 547242"
-1.894863993,52.51020163,*[175WBrelPkstn]Islamic Cultural Centre. 129 Normandy Road. 0121 327 4204
-2.035059035,52.47058798,*[400WBrel]Black Heath Jamia Mosque Trust and Islamic Cultural Centre. 143-150 Malt Mill Lane. 07979 980936
-2.037698329,52.4710226,*[60NoWDeobBangla]Bangali Mosque & Community Centre. 149-150 New John Street. not known
-1.936662197,52.50456688,*[250NoWDeob]Islamic Education and Cultural Centre. 14 Linwood Road. 0121 515 2110
-1.863346696,52.47021382,*[1100WArab]Ar-Rahma Islamic Centre. 29 Whitmore Road. 0121 766 8896
-1.896831393,52.43601543,*[150WDeob]Madina Mosque. 113-115 Station Road. 0121 444 8988
-1.895935535,52.45553049,*[560WBrel]Jamia Masjid Bilal Community Centre. 1 Willows Crescent. 0121 446 6210
-1.864357889,52.50138635,*[118WBrel]Islamic Teaching and Community Centre Mosque. 141 Nechells Park Road. 0121 241 0489
-1.861715913,52.48828302,*[500NoWDeobBangla]Madina Mosque. 150 Adderley Road. 0121 327 1123
-0.56928277,51.31703809,*[250WShia]Al-Asr Education & Community Centre. 118 Goldsworth Road. 01483 599222
-1.855603159,52.48995545,*[375WDeobBangla]Shah Jalal Jami Masjid. 1-3 Ralph Road. 0121 328 8981
-1.85809359,52.48896327,*[100Brel][Unsure] Ahle Sunnat wal Jamayat ulama Sangsad. 108 Reginald Road. 0121 328 5473
-2.176907659,53.01839442,*[1700Brel]Islamic Centre. Regent Road. 
-1.842088848,52.47623444,*[200Brel]The Mosque. 2 Blake Lane. 0121 771 3247
-1.857283562,52.47667309,*[350WBrelPkstn]Spiritual Centre Madrassa Naqshbabundia Nawabia Aslamia. 108 Bordesley Green. 0121 766 6845
-1.856906712,52.4767909,*[225NoWDeobBangla]Bordesley Green Islamic Centre. 122 Bordesley Green. 0121 766 6371
-1.850965619,52.47733555,*[100DeobPkstn]Madrassa Jila-ul-Quloob. 253 Bordesley Green. 
-1.856281757,52.47892834,*[500BrelPkstn]Faizan-e-Madinah. 76-82 Bordesley Green Road. 0121 772 3387
-1.850936115,52.47365801,*[350WBrel]Marakazi Jamaat-E-Ahle-Sunnat. 236-238 Charles Road. 0121 772 6578
-1.899475449,52.50425631,*[300WSalf]Masjid As-Sunnah An-Nabawiyyah. 125 Mansfield Road. 
-1.776432395,53.8023743,*[300SufiPkstn]Jamia Masjid Naqshbandia Aslamia. 63 Tile Street. 07800 798457
-1.855959892,52.46854391,*[2250WDeobBangla]Jami Masjid and Islamic Centre. 505-527 Coventry Road. 0121 772 6408
-1.96023,52.485397,*[300NoWDeobPkstn]Masjid Usman. 53-55 Shireland Road. 0121 565 5767
-1.832259893,52.47174642,*[170WBrelPkstn]Masjid Qamarul Islam. 168-170 Fosbrooke Road. 0121 773 0372
-1.858416796,52.46495224,*[6000WBrelPkstn]Central Jamia Mosque Ghamkol Sharif. 150 Golden Hillock Road. 0121 773 7277
-1.864729375,52.47293341,*[3500WSalfPkstn]Green Lane Masjid & Community Centre. 20 Green Lane. 0121 713 0080
